date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:30	140/140	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:29%20GMT	https://azure.microsoft.com/dest/ampDefs.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/ampDefs.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:31	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:30%20GMT	https://azure.microsoft.com/dest/video.js/src/js/tech/tech.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/tech/tech.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:32	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:31%20GMT	https://azure.microsoft.com/dest/video.js/src/js/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:33	155/155	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:32%20GMT	https://azure.microsoft.com/dest/video.js/src/js/player.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/player.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:34	154/154	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:33%20GMT	https://azure.microsoft.com/dest/video.js/src/js/video.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/video.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:35	166/166	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:34%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/time-ranges.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/time-ranges.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:36	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:35%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:37	157/157	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:36%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:38	162/162	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:37%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/browser.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/browser.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:39	140/140	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:38%20GMT	https://azure.microsoft.com/dest/ampDefs.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/ampDefs.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:40	152/152	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:39%20GMT	https://azure.microsoft.com/dest/bundles/Silverlight.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/Silverlight.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:41	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:40%20GMT	https://azure.microsoft.com/dest/bundles/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:42	147/147	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:41%20GMT	https://azure.microsoft.com/dest/bundles/button.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/button.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:43	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:42%20GMT	https://azure.microsoft.com/dest/bundles/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:44	153/153	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:43%20GMT	https://azure.microsoft.com/dest/bundles/utils/events.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/events.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:45	149/149	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:44%20GMT	https://azure.microsoft.com/dest/bundles/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:46	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:45%20GMT	https://azure.microsoft.com/dest/bundles/utils/log.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/log.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:47	163/163	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:46%20GMT	https://azure.microsoft.com/dest/bundles/utils/close-other-menu.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/close-other-menu.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:48	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:47%20GMT	https://azure.microsoft.com/dest/bundles/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:49	153/153	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:48%20GMT	https://azure.microsoft.com/dest/bundles/utils/events.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/events.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:50	149/149	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:49%20GMT	https://azure.microsoft.com/dest/bundles/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
